###,##############,###
###,  ESSENTIALS  ,###
###,##############,###
PAC,stow,automatically symlinking files
PAC,tlp,power-saving thingy
PAC,yay,"an AUR helper (yeah, I know)"
PAC,ufw,too lazy to set up anything else
PAC,playerctl,you wanna pause&skip your songs right?
PAC,xorg-xbacklight,well yes
PAC,redshift,to save your eyes from death
#AUR,sct,as a redshift alternative?
AUR,xidlehook,a not-annoying xautolock
PAC,xcape,making caps lock an escape key too
###,##################,###
###,TERMINAL ILLNESSES,###
###,##################,###
PAC,rxvt-unicode,terminal emulator
PAC,urxvt-perls,URxvt Perl things
AUR,urxvt-resize-font-git,font resize in URxvt
PAC,ranger,terminal file manager
PIP,ueberzug,for img previews in ranger
PAC,tree,handy visualization of folder structure
PAC,bash-completion,command completion for BASH
PAC,tmux,terminal multiplexer disease
AUR,tmuxline-git,airline for tmux
###,#####################,###
###,WINDOW MANAGER STUFFS,###
###,#####################,###
PAC,i3-gaps,i3 window manager
PAC,i3lock-color,nice screen locker
PAC,bspwm,another window manager
PAC,sxhkd,hotkey daemon
PAC,picom,compositor for X
PAC,rofi,cute little menu thing
PAC,dunst,for displaying notifications
PAC,polybar,a nice & configurable bar
PAC,feh,for displaying images and setting wallpaper
PAC,sxiv,it's better than feh...
PAC,python-pywal,for generating and handling color schemes
AUR,betterlockscreen,as lockscreen
PAC,xfce4-power-manager,for handling screen dim & stuff
PAC,lxappearance,for switching GTK and icon themes
PAC,arandr,for changing monitor layout
PAC,numlockx,for setting numlock ON at login
PAC,xorg-xinput,for changing touchpad scroll dir ++
PAC,xclip,managing clipboard
PAC,scrot,for taking scree-appindicatornshots
PAC,pamac-tray-appindicator,for notifying about updates
PAC,network-manager-applet,for network settings (nm-applet)
AUR,gtk3-nocsd-git,get rid of those useless buttons
PAC,zenity,minimalist dialogs
PIP,google-api-python-client,for calendar script
PIP,google-auth-httplib2,for calendar script
PIP,google-auth-oauthlib,for calendar script
PAC,python-dateutil,for calendar script
###,#############,###
###,    FONTS    ,###
###,#############,###
PAC,otf-fira-code,"Fira Code, a nice monospace font with litigatures"
AUR,nerd-fonts-fira-mono,"Fira Mono for litigature absence"
PAC,ttf-ubuntu-font-family,"the Ubuntu font (I just like it)"
PAC,otf-font-awesome,"Font Awesome, for text-based icons"
PAC,powerline-fonts,Powerline fonts yes
AUR,ttf-ms-fonts,MS webfonts that are normally missing
PAC,noto-fonts-emoji,emoji
###,#############,###
###, NETWORKING  ,###
###,#############,###
PAC,gnu-netcat,an obvious tool
###,#############,###
###,    TOOLS    ,###
###,#############,###
PAC,pandoc,for converting stuff to PDF
PAC,texlive-core,for basic latex
PAC,texlive-latexextra,for the cancel package and more
PAC,pdftk,for concating PDFs and more
PAC,flameshot,screenshot GUI
###,#############,###
###,NORMAL STUFFS,###
###,#############,###
PAC,mpv,video player
PAC,youtube-dl,video stuff
PAC,zathura,PDF viewer
PAC,zathura-pdf-mupdf,for PDF in zathura...
AUR,dropbox,file sync thing
PAC,keepassxc,mah passw0rdz
AUR,spotify,music streaming
AUR,spicetify-cli,theming spotify
PAC,discord,chatter
PAC,gnome-calculator,I need a friendly calculator
###,#############,###
###, PROGRAMMING ,###
###,#############,###
PAC,nodejs,Node JS y'know
PAC,npm,package manager for Node
PAC,ruby,ahem it's a dependency for some things
#AUR,intellij-idea-ultimate-edition,IntelliJ
#AUR,intellij-idea-ultimate-edition-jre,custom JRE for IntelliJ
###,#############,###
###,    FLUFF    ,###
###,#############,###
PAC,fortune-mod,heh
PAC,vim-airline,making vim look better
PAC,sl,for shits & giggles
PAC,xorg-xclock,for slamming time in my face
YAY,i3-gnome-pomodoro-git,pomodoro timer
YAY,rofi-emoji,emoji keyboard thing...
YAY,i3-volume,for reasons but not good ones
YAY,tty-clock,for literally no purpose whatsoever
PAC,cmatrix,to pretend I'm a hackz0r
PAC,neofetch,for showing off
PAC,glava,for fancy desktop music visualization
AUR,cava,for music visualization in terminals
